"date","avg_price","city","name","daily_av"
"2021-10-31",158.332948675679,"amsterdam",NA,11.04
"2021-11-01",169.524947796461,"amsterdam",NA,9.53
"2021-11-02",169.549785690735,"amsterdam",NA,6.94
"2021-11-03",169.521925486317,"amsterdam",NA,5.27
"2021-11-04",169.609902187054,"amsterdam",NA,6.71
"2021-11-05",173.963897131553,"amsterdam",NA,8.27
"2021-11-06",174.049510935268,"amsterdam",NA,10.79
"2021-11-07",169.925101659523,"amsterdam",NA,9.92
"2021-11-08",169.848829541708,"amsterdam",NA,8
"2021-11-09",169.87223870755,"amsterdam",NA,8.46
"2021-11-10",169.86366633696,"amsterdam",NA,10
"2021-11-11",169.988075612705,"amsterdam",NA,10.37
"2021-11-12",173.998461369381,"amsterdam",NA,8.1
"2021-11-13",174.113144301572,"amsterdam",NA,11.32
"2021-11-14",169.974392790417,"amsterdam",NA,9.9
"2021-11-15",169.851137487636,"amsterdam",NA,6.88
"2021-11-16",169.979832948676,"amsterdam",NA,5.21
"2021-11-17",169.990603363007,"amsterdam",NA,8.73
"2021-11-18",170.041927684361,"amsterdam",NA,10.41
"2021-11-19",173.939828552588,"amsterdam",NA,12.29
"2021-11-20",174.025772062864,"amsterdam",NA,10.69
"2021-11-21",169.964831300143,"amsterdam",NA,8.25
"2021-11-22",169.874656555665,"amsterdam",NA,5.15
"2021-11-23",169.912517859105,"amsterdam",NA,7.29
"2021-11-24",169.918837234861,"amsterdam",NA,7.06
"2021-11-25",170.031267172217,"amsterdam",NA,6.08
"2021-11-26",174.005550060446,"amsterdam",NA,4.85
"2021-11-27",174.103692713485,"amsterdam",NA,3.56
"2021-11-28",169.989888998791,"amsterdam",NA,2.54
"2021-11-29",169.838059127377,"amsterdam",NA,4.52
"2021-11-30",169.938289921969,"amsterdam",NA,9.19
"2021-12-01",169.823881745247,"amsterdam",NA,8.25
"2021-12-02",170.191284756567,"amsterdam",NA,2.54
"2021-12-03",174.056544675239,"amsterdam",NA,3.92
"2021-12-04",174.17529398835,"amsterdam",NA,5.44
"2021-12-05",170.059786789757,"amsterdam","Saint Nicholas' Eve",4.44
"2021-12-06",169.931091328717,"amsterdam","Saint Nicholas' Day",3.02
"2021-12-07",169.945323661941,"amsterdam",NA,4.6
"2021-12-08",169.945323661941,"amsterdam",NA,4.79
"2021-12-09",170.092207934938,"amsterdam",NA,3.7
"2021-12-10",173.928563578415,"amsterdam",NA,3.36
"2021-12-11",174.030772612375,"amsterdam",NA,5.15
"2021-12-12",170.001703483899,"amsterdam",NA,9.4
"2021-12-13",169.863941092428,"amsterdam",NA,9.65
"2021-12-14",169.903505879767,"amsterdam",NA,9.19
"2021-12-15",169.914606000659,"amsterdam",NA,9.75
"2021-12-16",170.128915265414,"amsterdam",NA,6.25
"2021-12-17",173.928123969667,"amsterdam",NA,7.9
"2021-12-18",174.050445103858,"amsterdam",NA,6.35
"2021-12-19",170.093746565557,"amsterdam",NA,7.15
"2021-12-20",170.145950104407,"amsterdam",NA,4.77
"2021-12-21",170.187657984394,"amsterdam","December Solstice",-0.23
"2021-12-22",170.243872953072,"amsterdam",NA,-1.9
"2021-12-23",170.596658973514,"amsterdam",NA,2.79
"2021-12-24",174.654522474997,"amsterdam","Christmas Eve",7.83
"2021-12-25",174.811188042642,"amsterdam","Christmas Day",-0.94
"2021-12-26",170.923233322343,"amsterdam","Boxing Day",-1.23
"2021-12-27",170.893175074184,"amsterdam",NA,5.48
"2021-12-28",170.934058687768,"amsterdam",NA,8.96
"2021-12-29",171.265908341576,"amsterdam",NA,9.71
"2021-12-30",172.541433124519,"amsterdam",NA,12.63
"2021-12-31",177.305198373448,"amsterdam","New Year's Eve",12.63
"2022-01-01",176.202659632927,"amsterdam",NA,11.72
"2022-01-02",171.688427299703,"amsterdam",NA,11.49
"2022-01-03",172.708264644466,"amsterdam",NA,9.52
"2022-01-04",172.503846576547,"amsterdam",NA,6.54
"2022-01-05",172.460929772502,"amsterdam",NA,5.58
"2022-01-06",172.417463457523,"amsterdam",NA,3.38
"2022-01-07",175.54456533685,"amsterdam",NA,4.19
"2022-01-08",175.942960764919,"amsterdam",NA,3.85
"2022-01-09",172.016155621497,"amsterdam",NA,4.74
"2022-01-10",171.904110341796,"amsterdam",NA,2.48
"2022-01-11",171.904879657105,"amsterdam",NA,2.74
"2022-01-12",171.914441147379,"amsterdam",NA,3.81
"2022-01-13",171.979777997582,"amsterdam",NA,5.58
"2022-01-14",175.723815803934,"amsterdam",NA,5.56
"2022-01-15",175.740630838554,"amsterdam",NA,2.9
"2022-01-16",171.870315419277,"amsterdam",NA,6.48
"2022-01-17",171.758544895043,"amsterdam",NA,6.65
"2022-01-18",171.799098802066,"amsterdam",NA,3.12
"2022-01-19",171.792999230685,"amsterdam",NA,5.13
"2022-01-20",171.907956918343,"amsterdam",NA,4.04
"2022-01-21",175.71595779756,"amsterdam",NA,4.69
"2022-01-22",175.779151555116,"amsterdam",NA,6.77
"2022-01-23",171.863831190241,"amsterdam",NA,6.25
"2022-01-24",171.779920870425,"amsterdam",NA,4.67
"2022-01-25",171.811242993736,"amsterdam",NA,3.08
"2022-01-26",171.816628200901,"amsterdam",NA,4.87
"2022-01-27",171.927189801077,"amsterdam",NA,7.37
"2022-01-28",175.740136278712,"amsterdam",NA,6.81
"2022-01-29",175.782393669634,"amsterdam",NA,9.33
"2022-01-30",171.86833717991,"amsterdam",NA,6.04
"2022-01-31",171.827453566326,"amsterdam",NA,5.9
"2022-02-01",173.543081657325,"amsterdam",NA,7.73
"2022-02-02",173.258050335202,"amsterdam",NA,8.44
"2022-02-03",173.834157599736,"amsterdam",NA,7.63
"2022-02-04",177.580338498736,"amsterdam",NA,6.73
"2022-02-05",177.989614243323,"amsterdam",NA,6.79
"2022-02-06",174.126607319486,"amsterdam",NA,7.35
"2022-02-07",174.113144301572,"amsterdam",NA,6.52
"2022-02-08",174.039509836246,"amsterdam",NA,10.04
"2022-02-09",174.042587097483,"amsterdam",NA,9.06
"2022-02-10",174.120342894824,"amsterdam",NA,6.71
"2022-02-11",178.144686229256,"amsterdam",NA,4.23
"2022-02-12",168.640674799428,"amsterdam",NA,2.94
"2022-02-13",174.479723046489,"amsterdam",NA,5.65
"2022-02-14",174.257226068799,"amsterdam",NA,9.02
"2022-02-15",174.245356632597,"amsterdam",NA,7.54
"2022-02-16",174.070447301901,"amsterdam",NA,10.73
"2022-02-17",174.194197164524,"amsterdam",NA,8.65
"2022-02-18",178.178426200681,"amsterdam",NA,8.12
"2022-02-19",178.215463237718,"amsterdam",NA,6.21
"2022-02-20",179.601659523024,"amsterdam",NA,8.15
"2022-02-21",179.553852071656,"amsterdam",NA,6.5
"2022-02-22",179.564567534894,"amsterdam",NA,7.17
"2022-02-23",179.25178591054,"amsterdam",NA,7.85
"2022-02-24",179.294373008023,"amsterdam",NA,6.26
"2022-02-25",183.018683371799,"amsterdam",NA,5.29
"2022-02-26",183.115342345313,"amsterdam",NA,3.58
"2022-02-27",179.205572040884,"amsterdam",NA,4.85
"2022-02-28",179.451203428948,"amsterdam",NA,4.48
"2022-03-01",179.51604571931,"amsterdam",NA,4.83
"2022-03-02",179.473073964172,"amsterdam",NA,NA
"2022-03-03",179.279701066051,"amsterdam",NA,NA
"2022-03-04",190.438559030169,"amsterdam",NA,NA
"2022-03-05",190.369940382805,"amsterdam",NA,NA
"2022-03-06",133.46218487395,"amsterdam",NA,NA
"2021-03-04",152.701076963488,"amsterdam",NA,4.31
"2021-03-21",84.6678904264332,"athens",NA,13.25
"2021-03-22",78.8623839244938,"athens",NA,15.13
"2021-03-23",76.835551685533,"athens",NA,8.88
"2021-03-24",76.858191317328,"athens",NA,7.46
"2021-03-25",76.9935315337729,"athens","Annunciation of the Lord",5.15
"2021-03-25",76.9935315337729,"athens","Independence Day",5.15
"2021-03-26",77.8336857818137,"athens",NA,7.65
"2021-03-27",77.941037442468,"athens",NA,8.92
"2021-03-28",77.2031347182485,"athens",NA,10.96
"2021-03-29",77.0398059460132,"athens",NA,12.58
"2021-03-30",77.0437865406145,"athens",NA,13.09
"2021-03-31",77.2856966403162,"athens",NA,9.79
"2021-04-01",80.9931847684985,"athens",NA,8.88
"2021-04-02",80.9588925287964,"athens",NA,12.5
"2021-04-03",80.9902871621622,"athens",NA,16.75
"2021-04-04",80.3883045856121,"athens",NA,18.27
"2021-04-05",80.3771164160269,"athens",NA,13.5
"2021-04-06",80.3171732043327,"athens",NA,15.67
"2021-04-07",80.3454621937112,"athens",NA,17.04
"2021-04-08",80.4088758018719,"athens",NA,11.9
"2021-04-09",81.0537385634662,"athens",NA,9.08
"2021-04-10",81.1172573351562,"athens",NA,9.6
"2021-04-11",80.6271952886739,"athens",NA,10.23
"2021-04-12",80.5283415711431,"athens",NA,12.54
"2021-04-13",80.5287622252603,"athens",NA,14.67
"2021-04-14",80.5183510358608,"athens",NA,15.58
"2021-04-15",80.6127878851614,"athens",NA,14.48
"2021-04-16",81.4072983489326,"athens",NA,14.71
"2021-04-17",81.5094121358713,"athens",NA,14.96
"2021-04-18",80.9136607424545,"athens",NA,14.07
"2021-04-19",80.8650751919234,"athens",NA,16.19
"2021-04-20",80.8812703754338,"athens",NA,15.85
"2021-04-21",80.9154485224524,"athens",NA,15.46
"2021-04-22",80.9716058470922,"athens",NA,16.58
"2021-04-23",81.7060679356399,"athens",NA,17.31
"2021-04-24",81.7959827531812,"athens",NA,13.85
"2021-04-25",81.172678515091,"athens",NA,14.65
"2021-04-26",81.2652224208644,"athens",NA,14.08
"2021-04-27",81.2976127878852,"athens",NA,16.67
"2021-04-28",81.3573456725208,"athens",NA,18.98
"2021-04-29",81.6289830686718,"athens",NA,17.77
"2021-04-30",81.8066042696393,"athens","Orthodox Good Friday",20.67
"2021-05-01",89.06351877169,"athens","Labor Day",20.33
"2021-05-02",88.7376169944263,"athens","Orthodox Easter",20.83
"2021-05-03",88.5793458828478,"athens","Orthodox Easter Monday",23.38
"2021-05-04",88.491429172363,"athens",NA,20.08
"2021-05-05",88.4990009464718,"athens",NA,20.27
"2021-05-06",88.516247765275,"athens",NA,21.23
"2021-05-07",89.2133768009254,"athens",NA,21.33
"2021-05-08",89.3327374066674,"athens",NA,21.31
"2021-05-09",88.8040803449364,"athens","Mother's Day",18.73
"2021-05-10",88.7364601956042,"athens",NA,18.31
"2021-05-11",88.5959617204753,"athens",NA,18.25
"2021-05-12",88.6015353875276,"athens",NA,18.42
"2021-05-13",88.7442422967715,"athens",NA,20.54
"2021-05-14",89.4953202229467,"athens",NA,20.79
"2021-05-15",89.5624145546325,"athens",NA,18.13
"2021-05-16",89.025554737617,"athens",NA,18.79
"2021-05-17",88.9628772741613,"athens",NA,22.38
"2021-05-18",88.950362814176,"athens",NA,23.98
"2021-05-19",85.6534861709959,"athens",NA,22.31
"2021-05-20",85.7689557261542,"athens",NA,23.19
"2021-05-21",85.7769481543801,"athens",NA,18.87
"2021-05-22",85.007676937638,"athens",NA,19
"2021-05-23",84.3397833631297,"athens",NA,20.96
